listing_id,date
14793592,2016-09-23
14793592,2016-10-02
14793592,2017-09-25
14793592,2017-11-19
14793592,2017-11-26
14793592,2017-12-08
14793592,2017-12-24
14793592,2017-12-30
14793592,2018-01-31
14793592,2018-02-04
14793592,2018-02-15
14793592,2018-02-16
14793592,2018-02-17
14793592,2018-03-04
14793592,2018-03-11
14793592,2018-03-18
14793592,2018-03-25
14793592,2018-03-26
14793592,2018-03-31
14793592,2018-04-01
14793592,2018-04-02
14793592,2018-04-18
14793592,2018-04-28
14793592,2018-04-29
14793592,2018-05-03
14793592,2018-05-04
14793592,2018-05-06
14793592,2018-05-09
14793592,2018-05-11
14793592,2018-05-13
14793592,2018-05-19
14793592,2018-05-20
14793592,2018-05-28
14793592,2018-06-01
14793592,2018-06-05
14793592,2018-06-07
14793592,2018-06-10
14793592,2018-06-17
14793592,2018-06-23
14793592,2018-07-07
14793592,2018-07-15
14793592,2018-07-18
14793592,2018-07-22
14793592,2018-07-27
14793592,2018-08-10
14793592,2018-08-12
14793592,2018-08-15
14793592,2018-08-19
14793592,2018-08-21
14793592,2018-08-31
14793592,2018-09-02
14793592,2018-09-08
14793592,2018-09-09
14793592,2018-09-16
14793592,2018-09-23
14793592,2018-09-28
14793592,2018-09-30
14793592,2018-10-05
14793592,2018-10-07
14793592,2018-10-14
14793592,2018-10-19
14793592,2018-10-21
14793592,2018-10-26
14793592,2018-10-27
14793592,2018-10-28
14793592,2018-10-30
14793592,2018-11-01
14793592,2018-11-04
14793592,2018-11-09
14793592,2018-11-11
14793592,2018-11-15
14793592,2018-11-24
14793592,2018-12-03
14793592,2018-12-15
14793592,2018-12-21
14793592,2018-12-27
14793592,2019-01-01
14793592,2019-01-05
14793592,2019-01-17
14793592,2019-01-27
14793592,2019-01-29
14793592,2019-02-15
14793592,2019-02-18
14793592,2019-02-25
14793592,2019-03-03
14793592,2019-03-05
14793592,2019-03-15
14793592,2019-03-17
14793592,2019-03-19
14793592,2019-03-22
14793592,2019-03-28
14793592,2019-03-31
14793592,2019-04-05
14793592,2019-04-15
14793592,2019-04-19
14793592,2019-04-22
14793592,2019-04-26
14793592,2019-04-28
14793592,2019-05-09
14793592,2019-05-10
14793592,2019-05-11
